id,country,capital,lat,lon,iso2
1,Albania,Tirana,41.3317,19.8172,AL
2,Andorra,Andorra la Vella,42.5075,1.5218,AD
3,Armenia,Yerevan,40.1667,44.5,AM
4,Austria,Vienna,48.2092,16.3728,AT
5,Belarus,Minsk,53.9678,27.5766,BY
6,Belgium,Brussels,50.8371,4.3676,BE
7,Bosnia and Herzegovina,Sarajevo,43.8608,18.4214,BA
8,Bulgaria,Sofia,42.7105,23.3238,BG
9,Croatia,Zagreb,45.815,15.9785,HR
10,Cyprus,Nicosia,35.1856,33.3823,CY
11,Czech Republic,Prague,50.0878,14.4205,CZ
12,Denmark,Copenhagen,55.6763,12.5681,DK
13,Estonia,Tallinn,59.4389,24.7545,EE
14,Finland,Helsinki,60.1699,24.9384,FI
15,France,Paris,48.8567,2.351,FR
16,Georgia,Tbilisi,41.7151,44.8271,GE
17,Germany,Berlin,52.5235,13.4115,DE
18,Greece,Athens,37.9792,23.7166,GR
19,Hungary,Budapest,47.4984,19.0408,HU
20,Iceland,Reykjavik,64.1353,-21.8952,IS
21,Ireland,Dublin,53.3441,-6.2675,IE
22,Italy,Rome,41.8955,12.4823,IT
23,Latvia,Riga,56.9465,24.1049,LV
24,Liechtenstein,Vaduz,47.1411,9.5215,LI
25,Lithuania,Vilnius,54.6872,25.2797,LT
26,Luxembourg,Luxembourg,49.6116,6.1319,LU
27,Malta,Valletta,35.8989,14.5146,MT
28,Moldova,Chisinau,47.0105,28.8638,MD
29,Monaco,Monaco,43.7384,7.4246,MC
30,Montenegro,Podgorica,42.441,19.2636,ME
31,Netherlands,Amsterdam,52.3676,4.9041,NL
32,North Macedonia,Skopje,41.9973,21.428,MK
33,Norway,Oslo,59.9139,10.7522,NO
34,Poland,Warsaw,52.2297,21.0122,PL
35,Portugal,Lisbon,38.7223,-9.1393,PT
36,Romania,Bucharest,44.4268,26.1025,RO
37,Russia,Moscow,55.7558,37.6173,RU
38,San Marino,San Marino,43.9424,12.4578,SM
39,Serbia,Belgrade,44.7866,20.4489,RS
40,Slovakia,Bratislava,48.1486,17.1077,SK
41,Slovenia,Ljubljana,46.0569,14.5058,SI
42,Spain,Madrid,40.4168,-3.7038,ES
43,Sweden,Stockholm,59.3293,18.0686,SE
44,Switzerland,Bern,46.948,7.4474,CH
45,Turkey,Ankara,39.9334,32.8597,TR
46,Ukraine,Kyiv,50.4501,30.5234,UA
47,United Kingdom,London,51.5074,-0.1278,GB
